date,areaType,areaCode,areaName,cumCasesByPublishDate,newCasesByPublishDate
"2021-01-15",region,E12000007,London,559093,10977
"2021-01-14",region,E12000007,London,,9804
"2021-01-13",region,E12000007,London,,10020
"2021-01-12",region,E12000007,London,,8559
"2021-01-11",region,E12000007,London,,10110
"2021-01-10",region,E12000007,London,,13674
"2021-01-09",region,E12000007,London,,15299
"2021-01-08",region,E12000007,London,,17111
"2021-01-07",region,E12000007,London,,10150
"2021-01-06",region,E12000007,London,,14892
"2021-01-05",region,E12000007,London,,14700
"2021-01-04",region,E12000007,London,,11370
"2021-01-03",region,E12000007,London,,14212
"2021-01-02",region,E12000007,London,,13178
"2021-01-01",region,E12000007,London,,15089
"2020-12-31",region,E12000007,London,,12404
"2020-12-30",region,E12000007,London,,12830
"2020-12-29",region,E12000007,London,,14875
"2020-12-28",region,E12000007,London,,12341
"2020-12-27",region,E12000007,London,,9719
"2020-12-26",region,E12000007,London,,8516
"2020-12-25",region,E12000007,London,,9790
"2020-12-24",region,E12000007,London,,10713
"2020-12-23",region,E12000007,London,,9873
"2020-12-22",region,E12000007,London,,10201
"2020-12-21",region,E12000007,London,,9458
"2020-12-20",region,E12000007,London,,11577
"2020-12-19",region,E12000007,London,,6931
"2020-12-18",region,E12000007,London,,7378
"2020-12-17",region,E12000007,London,,5762
"2020-12-16",region,E12000007,London,,6777
"2020-12-15",region,E12000007,London,,4238
"2020-12-14",region,E12000007,London,,5322
"2020-12-13",region,E12000007,London,,4166
"2020-12-12",region,E12000007,London,,4283
"2020-12-11",region,E12000007,London,,4755
"2020-12-10",region,E12000007,London,,4144
"2020-12-09",region,E12000007,London,,2550
"2020-12-08",region,E12000007,London,,2203
"2020-12-07",region,E12000007,London,,2460
"2020-12-06",region,E12000007,London,,3198
"2020-12-05",region,E12000007,London,,2376
"2020-12-04",region,E12000007,London,,2823
"2020-12-03",region,E12000007,London,,2081
"2020-12-02",region,E12000007,London,,2614
"2020-12-01",region,E12000007,London,,1964
"2020-11-30",region,E12000007,London,,2069
"2020-11-29",region,E12000007,London,,1639
"2020-11-28",region,E12000007,London,,2260
"2020-11-27",region,E12000007,London,,1800
"2020-11-26",region,E12000007,London,,2085
"2020-11-25",region,E12000007,London,,2503
"2020-11-24",region,E12000007,London,,1409
"2020-11-23",region,E12000007,London,,2075
"2020-11-22",region,E12000007,London,,2979
"2020-11-21",region,E12000007,London,,2547
"2020-11-20",region,E12000007,London,,1908
"2020-11-19",region,E12000007,London,,2540
"2020-11-18",region,E12000007,London,,2023
"2020-11-17",region,E12000007,London,,2102
"2020-11-16",region,E12000007,London,,674
"2020-11-15",region,E12000007,London,,2643
"2020-11-14",region,E12000007,London,,2588
"2020-11-13",region,E12000007,London,,2917
"2020-11-12",region,E12000007,London,,3929
"2020-11-11",region,E12000007,London,,2053
"2020-11-10",region,E12000007,London,,1501
"2020-11-09",region,E12000007,London,,2088
"2020-11-08",region,E12000007,London,,1804
"2020-11-07",region,E12000007,London,,2352
"2020-11-06",region,E12000007,London,,1948
"2020-11-05",region,E12000007,London,,2083
"2020-11-04",region,E12000007,London,,2307
"2020-11-03",region,E12000007,London,,1575
"2020-11-02",region,E12000007,London,,1739
"2020-11-01",region,E12000007,London,,2056
"2020-10-31",region,E12000007,London,,1568
"2020-10-30",region,E12000007,London,,2431
"2020-10-29",region,E12000007,London,,1933
"2020-10-28",region,E12000007,London,,2477
"2020-10-27",region,E12000007,London,,1999
"2020-10-26",region,E12000007,London,,1807
"2020-10-25",region,E12000007,London,,1791
"2020-10-24",region,E12000007,London,,2221
"2020-10-23",region,E12000007,London,,1718
"2020-10-22",region,E12000007,London,,1646
"2020-10-21",region,E12000007,London,,2862
"2020-10-20",region,E12000007,London,,1480
"2020-10-19",region,E12000007,London,,1945
"2020-10-18",region,E12000007,London,,1646
"2020-10-17",region,E12000007,London,,1166
"2020-10-16",region,E12000007,London,,1394
"2020-10-15",region,E12000007,London,,1843
"2020-10-14",region,E12000007,London,,1722
"2020-10-13",region,E12000007,London,,1441
"2020-10-12",region,E12000007,London,,801
"2020-10-11",region,E12000007,London,,637
"2020-10-10",region,E12000007,London,,1174
"2020-10-09",region,E12000007,London,,1457
"2020-10-08",region,E12000007,London,,1252
"2020-10-07",region,E12000007,London,,1310
"2020-10-06",region,E12000007,London,,916
"2020-10-05",region,E12000007,London,,989
"2020-10-04",region,E12000007,London,,1965
"2020-10-03",region,E12000007,London,,1070
"2020-10-02",region,E12000007,London,,497
"2020-10-01",region,E12000007,London,,551
"2020-09-30",region,E12000007,London,,388
"2020-09-29",region,E12000007,London,,504
"2020-09-28",region,E12000007,London,,397
"2020-09-27",region,E12000007,London,,587
"2020-09-26",region,E12000007,London,,361
"2020-09-25",region,E12000007,London,,584
"2020-09-24",region,E12000007,London,,620
"2020-09-23",region,E12000007,London,,531
"2020-09-22",region,E12000007,London,,354
"2020-09-21",region,E12000007,London,,282
"2020-09-20",region,E12000007,London,,241
"2020-09-19",region,E12000007,London,,320
"2020-09-18",region,E12000007,London,,377
"2020-09-17",region,E12000007,London,,247
"2020-09-16",region,E12000007,London,,243
"2020-09-15",region,E12000007,London,,278
"2020-09-14",region,E12000007,London,,218
"2020-09-13",region,E12000007,London,,311
"2020-09-12",region,E12000007,London,,393
"2020-09-11",region,E12000007,London,,416
"2020-09-10",region,E12000007,London,,304
"2020-09-09",region,E12000007,London,,315
"2020-09-08",region,E12000007,London,,327
"2020-09-07",region,E12000007,London,,274
"2020-09-06",region,E12000007,London,,308
"2020-09-05",region,E12000007,London,,232
"2020-09-04",region,E12000007,London,,296
"2020-09-03",region,E12000007,London,,216
"2020-09-02",region,E12000007,London,,190
"2020-09-01",region,E12000007,London,,188
"2020-08-31",region,E12000007,London,,160
"2020-08-30",region,E12000007,London,,197
"2020-08-29",region,E12000007,London,,143
"2020-08-28",region,E12000007,London,,166
"2020-08-27",region,E12000007,London,,210
"2020-08-26",region,E12000007,London,,155
"2020-08-25",region,E12000007,London,,206
"2020-08-24",region,E12000007,London,,133
"2020-08-23",region,E12000007,London,,155
"2020-08-22",region,E12000007,London,,183
"2020-08-21",region,E12000007,London,,101
"2020-08-20",region,E12000007,London,,172
"2020-08-19",region,E12000007,London,,105
"2020-08-18",region,E12000007,London,,145
"2020-08-17",region,E12000007,London,,95
"2020-08-16",region,E12000007,London,,136
"2020-08-15",region,E12000007,London,,119
"2020-08-14",region,E12000007,London,,300
"2020-08-13",region,E12000007,London,,0
"2020-08-12",region,E12000007,London,,93
"2020-08-11",region,E12000007,London,,90
"2020-08-10",region,E12000007,London,,65
"2020-08-09",region,E12000007,London,,117
"2020-08-08",region,E12000007,London,,112
"2020-08-07",region,E12000007,London,,90
"2020-08-06",region,E12000007,London,,105
"2020-08-05",region,E12000007,London,,74
"2020-08-04",region,E12000007,London,,86
"2020-08-03",region,E12000007,London,,97
"2020-08-02",region,E12000007,London,,70
"2020-08-01",region,E12000007,London,,103
"2020-07-31",region,E12000007,London,,91
"2020-07-30",region,E12000007,London,,114
"2020-07-29",region,E12000007,London,,66
"2020-07-28",region,E12000007,London,,61
"2020-07-27",region,E12000007,London,,87
"2020-07-26",region,E12000007,London,,87
"2020-07-25",region,E12000007,London,,66
"2020-07-24",region,E12000007,London,,73
"2020-07-23",region,E12000007,London,,96
"2020-07-22",region,E12000007,London,,47
"2020-07-21",region,E12000007,London,,44
"2020-07-20",region,E12000007,London,,47
"2020-07-19",region,E12000007,London,,51
"2020-07-18",region,E12000007,London,,109
"2020-07-17",region,E12000007,London,,56
"2020-07-16",region,E12000007,London,,68
"2020-07-15",region,E12000007,London,,50
"2020-07-14",region,E12000007,London,,42
"2020-07-13",region,E12000007,London,,29
"2020-07-12",region,E12000007,London,,45
"2020-07-11",region,E12000007,London,,91
"2020-07-10",region,E12000007,London,,31
"2020-07-09",region,E12000007,London,,68
"2020-07-08",region,E12000007,London,,44
"2020-07-07",region,E12000007,London,,37
"2020-07-06",region,E12000007,London,,23
"2020-07-05",region,E12000007,London,,37
"2020-07-04",region,E12000007,London,,38
"2020-07-03",region,E12000007,London,,9
"2020-07-02",region,E12000007,London,,34
"2020-07-01",region,E12000007,London,,6025
"2020-06-30",region,E12000007,London,,19
"2020-06-29",region,E12000007,London,,9
"2020-06-28",region,E12000007,London,,14
"2020-06-27",region,E12000007,London,,46
"2020-06-26",region,E12000007,London,,52
"2020-06-25",region,E12000007,London,,47
"2020-06-24",region,E12000007,London,,10
"2020-06-23",region,E12000007,London,,18
"2020-06-22",region,E12000007,London,,21
"2020-06-21",region,E12000007,London,,18
"2020-06-20",region,E12000007,London,,29
"2020-06-19",region,E12000007,London,,16
"2020-06-18",region,E12000007,London,,17
"2020-06-17",region,E12000007,London,,9
"2020-06-16",region,E12000007,London,,15
"2020-06-15",region,E12000007,London,,8
"2020-06-14",region,E12000007,London,,25
"2020-06-13",region,E12000007,London,,36
"2020-06-12",region,E12000007,London,,21
"2020-06-11",region,E12000007,London,,31
"2020-06-10",region,E12000007,London,,15
"2020-06-09",region,E12000007,London,,55
"2020-06-08",region,E12000007,London,,0
"2020-06-07",region,E12000007,London,,15
"2020-06-06",region,E12000007,London,,25
"2020-06-05",region,E12000007,London,,36
"2020-06-04",region,E12000007,London,,21
"2020-06-03",region,E12000007,London,,21
"2020-06-02",region,E12000007,London,,32
"2020-06-01",region,E12000007,London,,21
"2020-05-31",region,E12000007,London,,30
"2020-05-30",region,E12000007,London,,25
"2020-05-29",region,E12000007,London,,30
"2020-05-28",region,E12000007,London,,16
"2020-05-27",region,E12000007,London,,27
"2020-05-26",region,E12000007,London,,22
"2020-05-25",region,E12000007,London,,38
"2020-05-24",region,E12000007,London,,38
"2020-05-23",region,E12000007,London,,59
"2020-05-22",region,E12000007,London,,55
"2020-05-21",region,E12000007,London,,49
"2020-05-20",region,E12000007,London,,50
"2020-05-19",region,E12000007,London,,42
"2020-05-18",region,E12000007,London,,47
"2020-05-17",region,E12000007,London,,81
"2020-05-16",region,E12000007,London,,166
"2020-05-15",region,E12000007,London,,80
"2020-05-14",region,E12000007,London,,89
"2020-05-13",region,E12000007,London,,44
"2020-05-12",region,E12000007,London,,89
"2020-05-11",region,E12000007,London,,62
"2020-05-10",region,E12000007,London,,95
"2020-05-09",region,E12000007,London,,111
"2020-05-08",region,E12000007,London,,124
"2020-05-07",region,E12000007,London,,142
"2020-05-06",region,E12000007,London,,117
"2020-05-05",region,E12000007,London,,252
"2020-05-04",region,E12000007,London,,160
"2020-05-03",region,E12000007,London,,128
"2020-05-02",region,E12000007,London,,223
"2020-05-01",region,E12000007,London,,180
"2020-04-30",region,E12000007,London,,207
"2020-04-29",region,E12000007,London,,111
"2020-04-28",region,E12000007,London,,146
"2020-04-27",region,E12000007,London,,225
"2020-04-26",region,E12000007,London,,267
"2020-04-25",region,E12000007,London,,278
"2020-04-24",region,E12000007,London,,296
"2020-04-23",region,E12000007,London,,415
"2020-04-22",region,E12000007,London,,280
"2020-04-21",region,E12000007,London,,418
"2020-04-20",region,E12000007,London,,297
"2020-04-19",region,E12000007,London,,453
"2020-04-18",region,E12000007,London,,689
"2020-04-17",region,E12000007,London,,704
"2020-04-16",region,E12000007,London,,0
"2020-04-15",region,E12000007,London,,0
"2020-04-14",region,E12000007,London,,0
"2020-04-13",region,E12000007,London,,0
"2020-04-12",region,E12000007,London,,0
"2020-04-11",region,E12000007,London,,0
"2020-04-10",region,E12000007,London,,0
"2020-04-09",region,E12000007,London,,0
"2020-04-08",region,E12000007,London,,0
"2020-04-07",region,E12000007,London,,0
"2020-04-06",region,E12000007,London,,0
"2020-04-05",region,E12000007,London,,0
"2020-04-04",region,E12000007,London,,0
"2020-04-03",region,E12000007,London,,0
"2020-04-02",region,E12000007,London,,0
"2020-04-01",region,E12000007,London,,0
"2020-03-31",region,E12000007,London,,0
"2020-03-30",region,E12000007,London,,0
"2020-03-29",region,E12000007,London,,0
"2020-03-28",region,E12000007,London,,0
"2020-03-27",region,E12000007,London,,0
"2020-03-26",region,E12000007,London,,0
"2020-03-25",region,E12000007,London,,0
"2020-03-24",region,E12000007,London,,0
"2020-03-23",region,E12000007,London,,0
"2020-03-22",region,E12000007,London,,0
"2020-03-21",region,E12000007,London,,0
"2020-03-20",region,E12000007,London,,0
"2020-03-19",region,E12000007,London,,0
"2020-03-18",region,E12000007,London,,0
"2020-03-17",region,E12000007,London,,0
"2020-03-16",region,E12000007,London,,0
"2020-03-15",region,E12000007,London,,0
"2020-03-14",region,E12000007,London,,0
"2020-03-13",region,E12000007,London,,0
"2020-03-12",region,E12000007,London,,0
"2020-03-11",region,E12000007,London,,0
"2020-03-10",region,E12000007,London,,0
"2020-03-09",region,E12000007,London,,0
"2020-03-08",region,E12000007,London,,0
"2020-03-07",region,E12000007,London,,0
"2020-03-06",region,E12000007,London,,0
"2020-03-05",region,E12000007,London,,0
"2020-03-04",region,E12000007,London,,0
"2020-03-03",region,E12000007,London,,0
"2020-03-02",region,E12000007,London,,0
"2020-03-01",region,E12000007,London,,0
"2020-02-29",region,E12000007,London,,0
"2020-02-28",region,E12000007,London,,0
"2020-02-27",region,E12000007,London,,0
"2020-02-26",region,E12000007,London,,0
"2020-02-25",region,E12000007,London,,0
"2020-02-24",region,E12000007,London,,0
"2020-02-23",region,E12000007,London,,0
"2020-02-22",region,E12000007,London,,0
"2020-02-21",region,E12000007,London,,0
"2020-02-20",region,E12000007,London,,0
"2020-02-19",region,E12000007,London,,0
"2020-02-18",region,E12000007,London,,0
"2020-02-17",region,E12000007,London,,0
"2020-02-16",region,E12000007,London,,0
"2020-02-15",region,E12000007,London,,0
"2020-02-14",region,E12000007,London,,0
"2020-02-13",region,E12000007,London,,0
"2020-02-12",region,E12000007,London,,0
"2020-02-11",region,E12000007,London,,0
"2020-02-10",region,E12000007,London,,0
"2020-02-09",region,E12000007,London,,0
"2020-02-08",region,E12000007,London,,0
"2020-02-07",region,E12000007,London,,0
"2020-02-06",region,E12000007,London,,0
"2020-02-05",region,E12000007,London,,0
"2020-02-04",region,E12000007,London,,0
"2020-02-03",region,E12000007,London,,0
"2020-02-02",region,E12000007,London,,0
"2020-02-01",region,E12000007,London,,0
"2020-01-31",region,E12000007,London,,0
"2020-01-30",region,E12000007,London,,0
"2020-01-29",region,E12000007,London,,0
"2020-01-28",region,E12000007,London,,0
"2020-01-27",region,E12000007,London,,0
"2020-01-26",region,E12000007,London,,0
"2020-01-25",region,E12000007,London,,0
"2020-01-24",region,E12000007,London,,0
"2020-01-23",region,E12000007,London,,0
"2020-01-22",region,E12000007,London,,0
"2020-01-21",region,E12000007,London,,0
"2020-01-20",region,E12000007,London,,0
"2020-01-19",region,E12000007,London,,0
"2020-01-18",region,E12000007,London,,0
"2020-01-17",region,E12000007,London,,0
"2020-01-16",region,E12000007,London,,0
"2020-01-15",region,E12000007,London,,0
"2020-01-14",region,E12000007,London,,0
"2020-01-13",region,E12000007,London,,0
"2020-01-12",region,E12000007,London,,0
"2020-01-11",region,E12000007,London,,0
"2020-01-10",region,E12000007,London,,0
"2020-01-09",region,E12000007,London,,0
"2020-01-08",region,E12000007,London,,0
"2020-01-07",region,E12000007,London,,0
"2020-01-06",region,E12000007,London,,0
"2020-01-05",region,E12000007,London,,0
"2020-01-04",region,E12000007,London,,0
"2020-01-03",region,E12000007,London,,0